year,month,day,30d_avg,Std,RSI,Williams %R
2015,2,26,479.76666666666665,10.598254031014504,45.32416899168707,-60.0
2012,3,25,107.23333333333333,2.872981550324671,41.82493918359715,-0.0
2015,1,20,474.93333333333334,12.011297364064509,55.10834491852851,-0.0
2013,3,31,253.63333333333333,7.4993486307208626,44.31765047226967,-93.33333333333334
2017,1,8,531.7333333333333,22.668424543062017,44.416691361904874,-52.083333333333336
2014,8,4,625.6,92.44330974841576,54.11802314287938,-100.0
2015,1,14,471.76666666666665,13.838186380411889,49.86633065639845,-85.71428571428571
2017,8,13,444.76666666666665,13.40016297722609,48.20180759052406,-94.73684210526315
2012,7,17,140.7,7.987706070948383,72.01098205478942,-0.0
2016,8,21,933.3333333333334,112.30049999376969,57.5831744839106,-62.5
2014,12,18,465.2,16.79778310496788,55.29383936213903,-23.52941176470588
2016,11,29,614.3333333333334,55.42894384788577,22.26983478983459,-70.14925373134328
2014,10,26,508.93333333333334,19.075048394815465,44.59487091441137,-79.16666666666667
2011,10,16,120.63333333333334,3.458954728829575,44.61981986725943,-66.66666666666667
2013,3,20,251.96666666666667,9.279132440622453,55.240143584743294,-71.42857142857142
2012,7,3,136.46666666666667,5.624658354886787,55.19176430857707,-16.666666666666668
2012,10,1,173.46666666666667,4.305035810925123,51.309080254239035,-83.33333333333334
2014,8,12,647.1666666666666,75.35025494011546,52.70189584106536,-83.33333333333334
2012,1,12,115.16666666666667,2.960467499583922,43.41494845659922,-75.0
2014,7,31,614.7333333333333,96.78804903903048,60.600622100736125,-100.0
2015,2,16,481.5,9.21299681672559,47.757779031391706,-55.55555555555556
2013,2,13,246.16666666666666,8.518067343265384,56.86839258719611,-0.0
2014,11,13,500.46666666666664,21.36502674503996,36.29470806296917,-95.23809523809524
2014,3,26,492.23333333333335,18.248634022257377,52.089837257298576,-32.69230769230769
2014,4,1,492.23333333333335,18.69295152675836,50.43233202183395,-61.29032258064516
2012,3,21,107.46666666666667,2.885556580905911,28.76492080606766,-100.0
2012,7,2,136.46666666666667,5.624658354886787,56.35654853034515,-0.0
2014,5,28,463.5,18.054992623117073,38.64909549847599,-0.0
2016,11,23,635.2,42.067597490477226,17.205318952685484,-100.0
2012,4,1,106.4,2.5810984029124873,47.06351860811549,-33.333333333333336
2016,9,20,1002.0666666666667,36.07170381465261,66.11232088004503,-0.0
2017,2,7,511.53333333333336,31.682403833102757,36.545154564720285,-63.15789473684211
2012,11,6,177.73333333333332,3.6853234858581936,73.44033123196016,-0.0
2014,4,22,481.1666666666667,14.37930345379144,41.76642296879913,-100.0
2016,2,16,562.7,32.77420137642125,59.41183698757477,-19.23076923076923
2016,5,26,644.5666666666667,31.649680864911122,60.29741871590875,-80.0
2014,11,18,495.23333333333335,25.132316513475466,24.85435445397613,-100.0
2011,9,6,126.1,2.7209278336373663,38.384794517360085,-100.0
2014,11,3,506.2,17.030196305594362,39.27073718834008,-100.0
2016,11,13,723.3333333333334,149.64886103541022,25.74808331989178,-87.8048780487805
2016,7,11,704.3333333333334,30.041733424131685,69.94564882708451,-0.0
2013,8,13,224.83333333333334,14.750998407668046,80.7353275801164,-0.0
2014,8,27,664.3333333333334,52.662447088352245,25.344365157658938,-100.0
2012,12,26,205.8,8.13845702566799,70.54847156519871,-0.0
2014,1,19,453.3333333333333,37.064094841731894,66.02203866036514,-39.285714285714285
2016,11,22,639.6,38.52057220186036,19.430848362013975,-100.0
2016,1,14,488.3,29.288281756976225,62.7305989999843,-0.0
2012,11,29,188.16666666666666,12.643884533321739,72.138719067367,-37.5
2012,12,27,207.46666666666667,9.390873534828952,75.2355481964419,-0.0
2017,4,26,480.3666666666667,37.197963731194406,48.30689975808934,-9.090909090909092
2012,6,28,136.26666666666668,5.508196609150744,54.57622156085245,-0.0
2012,7,8,136.83333333333334,5.994729485906585,58.63568424334782,-16.666666666666668
2015,3,2,479.7,10.531234331828923,52.573491257170346,-0.0
2011,6,20,126.4,5.4177231507277765,58.10540164062097,-0.0
2015,12,28,464.73333333333335,24.30826925190604,58.35984767605843,-50.0
2016,7,5,697.2,24.96535530525039,61.47701116923786,-31.03448275862069
2016,6,26,685.9,19.455253700527138,56.14056426729188,-90.0
2014,8,21,668.2666666666667,47.77817517432696,38.9811271570668,-99.99999999999999
2013,4,1,253.5,7.709152643630557,39.66757895824603,-100.0
2013,8,1,213.76666666666668,6.505612077720257,66.23890184572996,-0.0
2015,1,5,467.3,15.063429109996493,52.09747266628941,-35.29411764705882
2013,4,29,246.2,9.852008372182517,30.495410721628613,-99.99999999999999
2012,8,7,162.56666666666666,19.770551652487804,61.55701889878694,-0.0
2014,6,17,456.03333333333336,17.775386572905056,69.27992661370746,-0.0
2015,12,16,456.06666666666666,11.973918015580894,46.99053560848137,-82.6086956521739
2014,12,22,464.3333333333333,16.13164235462825,46.51138073675494,-100.0
2012,11,4,176.7,3.0303066875656466,64.41386722359091,-14.285714285714285
2011,5,4,128.26666666666668,4.250219737389175,49.4578266064246,-0.0
2011,3,15,137.73333333333332,3.4733798836424445,46.060787376843585,-33.333333333333336
2013,7,23,210.5,5.544490897312043,56.54058698866331,-12.5
2012,1,22,114.13333333333334,1.8332810859850557,55.55069975095036,-14.285714285714285
2011,11,9,118.76666666666667,3.654787444485441,48.228536409055195,-99.99999999999999
2016,4,14,641.2666666666667,43.14684895461994,31.272493688612872,-100.0
2016,2,28,582.3666666666667,14.914661459011517,53.63028831093818,-100.0
2012,9,25,172.33333333333334,4.87310234212207,55.532040923202665,-71.42857142857142
2011,10,13,120.96666666666667,3.671731089745384,44.61981986725943,-66.66666666666667
2013,12,16,331.03333333333336,60.47369524092294,85.36684713404428,-0.0
2013,6,16,220.43333333333334,7.7756620001299055,33.05306049426461,-100.0
